station_id,name,latitude,longitude,address,city,state,country,operator_name,network_name,access_type,opening_hours,status,connector_type,power_kw,current_type,connector_count,payment_modes,amenities,source_name,source_external_id,source_license,confidence_score,last_verified_at
osm-unknown-0,Unnamed charging station (India),28.634276,77.2209612,,,,India,,,public,,operational,unknown,,,1,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,Unnamed charging station (India),28.6350123,77.2197325,,,,India,,,public,,operational,unknown,,,1,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,Unnamed charging station (India),28.6341151,77.217651,,,,India,EESL,,public,,operational,unknown,,,1,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,Unnamed charging station (India),10.6488315,76.0710605,,,,India,,,public,,operational,unknown,,,1,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,Unnamed charging station (India),17.8029367,73.1020851,,,,India,Afzal,,public,,operational,unknown,,,1,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,Unnamed charging station (India),28.6327684,77.2228545,,,,India,,,public,,operational,unknown,,,1,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,Essar petrol pump,9.4781662,76.5861987,,,,India,,,public,,operational,unknown,,,1,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,Hindhusthan petrolium,9.4772838,76.5817059,,,,India,,,public,,operational,unknown,,,1,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,FCS,28.6680488,77.3739552,,,,India,,,public,,operational,unknown,,,1,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,FCS -2,28.6699882,77.3792992,,,,India,AB,,public,,operational,unknown,,,20,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,FCS,28.6669889,77.3716593,,,,India,,,public,,operational,unknown,,,1,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,GBU- CHARGING STATION,28.4245314,77.5209704,,,,India,AB,,public,,operational,unknown,,,1,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,BISRAKH FCS,28.5747161,77.4453156,,,,India,AB,,public,,operational,unknown,,,1,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,BOTANICAL FCS,28.5651948,77.3343937,,,,India,,,public,,operational,unknown,,,1,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,Tata power,17.7163716,83.326209,,,,India,Tata power,,public,,operational,unknown,,,50,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
